epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5522.54,1.45218,1.07028,0.9514,0.47966,0.38594,0.3688,0.2149,1.36658,1.02182,0.94254,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,5667.92,1.44709,1.068,0.94941,0.48458,0.38175,0.36883,0.21507,1.37009,1.01999,0.94251,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,5818.95,1.44218,1.06139,0.9478,0.48822,0.37879,0.36763,0.2152,1.36043,1.01237,0.94262,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,5964.94,1.4454,1.0644,0.9477,0.48715,0.38175,0.36886,0.2153,1.36543,1.01203,0.94157,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,6111.74,1.44713,1.06305,0.94863,0.49526,0.38451,0.37111,0.21639,1.36424,1.01345,0.9411,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,6265.44,1.43954,1.05488,0.9457,0.50572,0.37993,0.37532,0.22018,1.3611,1.00826,0.94148,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,6413.59,1.42857,1.0508,0.94596,0.48956,0.39057,0.37262,0.21731,1.3641,1.00898,0.9408,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,6583.62,1.42626,1.04255,0.94738,0.49077,0.38545,0.37396,0.21865,1.35967,1.00041,0.9396,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,6789.98,1.42414,1.04192,0.94357,0.51653,0.3801,0.37925,0.22256,1.35391,1.00084,0.93882,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,6958.83,1.4269,1.04222,0.94382,0.51778,0.38624,0.38118,0.22418,1.34876,0.99461,0.93737,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,7143.48,1.41629,1.03175,0.94376,0.49356,0.39123,0.3795,0.22076,1.35575,0.99624,0.93895,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,7328.1,1.4266,1.03365,0.94204,0.51691,0.38988,0.3826,0.22318,1.35195,0.99462,0.93691,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,7488.53,1.41217,1.02528,0.94023,0.52616,0.38532,0.38256,0.22373,1.34919,0.98942,0.93665,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,7688.67,1.42044,1.03067,0.93993,0.50602,0.3886,0.38185,0.22407,1.3483,0.99141,0.93776,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,7906.13,1.41043,1.0207,0.94012,0.51645,0.38461,0.38131,0.22383,1.34931,0.99042,0.93699,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,8072.28,1.40248,1.015,0.93725,0.51938,0.39323,0.38623,0.226,1.34476,0.98482,0.93634,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,8251.02,1.41132,1.011,0.93959,0.52076,0.39118,0.38543,0.22548,1.34551,0.98231,0.93549,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,8411.9,1.41073,1.01851,0.93725,0.51956,0.39262,0.38585,0.22444,1.34579,0.98448,0.93499,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,8558.02,1.40481,1.00888,0.93662,0.50678,0.39804,0.38619,0.22538,1.34222,0.98619,0.93461,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,8707.48,1.40078,1.00622,0.9357,0.52226,0.39537,0.38677,0.22608,1.3411,0.97773,0.93337,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,8857.92,1.39983,1.00261,0.93481,0.52075,0.3888,0.38625,0.22555,1.34177,0.97887,0.93431,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,9015.52,1.39331,0.99841,0.93529,0.52533,0.40064,0.39406,0.22976,1.33628,0.9734,0.93291,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9160.68,1.39783,0.99469,0.93323,0.5311,0.39734,0.39744,0.23276,1.33759,0.97027,0.93458,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,9303.76,1.39024,0.9895,0.93152,0.52341,0.39259,0.38972,0.22786,1.33768,0.97515,0.93339,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,9449.56,1.38888,0.99046,0.93413,0.51519,0.39717,0.3894,0.22769,1.33799,0.97085,0.93362,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,9596.84,1.38074,0.98435,0.93,0.52648,0.39888,0.39512,0.23211,1.33426,0.96793,0.93225,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,9741.22,1.38086,0.97815,0.92973,0.53295,0.38886,0.39238,0.23061,1.33044,0.96631,0.93064,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,9917.69,1.37644,0.979,0.92899,0.51088,0.40258,0.3952,0.23102,1.33601,0.96779,0.9315,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,10089,1.3772,0.97702,0.92888,0.52669,0.40315,0.39638,0.23249,1.33013,0.96463,0.93092,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,10357.4,1.38048,0.97939,0.92821,0.52173,0.40488,0.39827,0.23289,1.33151,0.96376,0.93146,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,10626.1,1.36848,0.96823,0.92867,0.53036,0.40296,0.398,0.23344,1.33201,0.96398,0.93139,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,10891.9,1.3839,0.9721,0.92961,0.53514,0.39799,0.39858,0.23435,1.32876,0.96238,0.92995,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,11160.8,1.37024,0.96664,0.92479,0.52183,0.40571,0.39927,0.23453,1.32641,0.96021,0.92861,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,11425.3,1.37416,0.96535,0.92897,0.53379,0.40072,0.40088,0.23527,1.32537,0.95765,0.92883,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,11691.8,1.37026,0.95833,0.92497,0.5226,0.40708,0.40006,0.23465,1.32753,0.95824,0.92976,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,11956,1.36259,0.95607,0.92544,0.52829,0.40471,0.40079,0.23503,1.32945,0.95787,0.93044,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,12213,1.36335,0.95706,0.92727,0.52695,0.40947,0.40156,0.2358,1.3283,0.95833,0.93031,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,12416.9,1.36419,0.95426,0.92529,0.52712,0.40532,0.40029,0.23438,1.32643,0.95728,0.92925,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,12557.9,1.35324,0.94635,0.92443,0.54128,0.40123,0.40209,0.2354,1.32587,0.95565,0.92913,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,12704.7,1.35749,0.94775,0.92446,0.53224,0.40489,0.39972,0.23514,1.32499,0.95391,0.92838,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,12845.6,1.35727,0.94929,0.92439,0.52622,0.40729,0.40084,0.2364,1.32505,0.95542,0.92927,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,12989.6,1.35894,0.94582,0.92439,0.53154,0.40953,0.4027,0.23755,1.32409,0.95476,0.92844,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,13131.2,1.3485,0.94026,0.92221,0.53345,0.4092,0.40309,0.23713,1.32468,0.9551,0.92859,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,13272.7,1.35326,0.93797,0.92277,0.53551,0.40498,0.40326,0.23792,1.32425,0.95403,0.92858,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,13417.4,1.34625,0.93654,0.92191,0.53552,0.4063,0.40548,0.23931,1.32409,0.95275,0.929,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,13560.2,1.35195,0.93641,0.92136,0.5271,0.41014,0.40551,0.23834,1.32721,0.9543,0.92932,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,13704.9,1.35456,0.93502,0.9248,0.5298,0.41312,0.40641,0.23998,1.32443,0.95101,0.92877,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,13849.3,1.34543,0.93187,0.9215,0.53792,0.40706,0.40606,0.23882,1.32519,0.95152,0.9289,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,13993,1.34069,0.92347,0.91843,0.53582,0.40727,0.40399,0.23843,1.32491,0.95207,0.92843,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,14139.2,1.347,0.93084,0.92046,0.54662,0.40389,0.406,0.23935,1.32209,0.94976,0.92771,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,14280,1.34732,0.93104,0.92122,0.53559,0.41123,0.40669,0.24013,1.32238,0.95033,0.92772,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,14423.4,1.33951,0.92307,0.9198,0.53719,0.41086,0.40678,0.23936,1.32303,0.94988,0.92767,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,14566.1,1.34369,0.92417,0.91957,0.53744,0.41091,0.40681,0.23933,1.32217,0.9483,0.92773,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,14714.6,1.33378,0.91742,0.91913,0.53802,0.40854,0.40622,0.2385,1.32134,0.94951,0.92728,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,14861,1.33022,0.9111,0.91835,0.53506,0.41104,0.40579,0.23873,1.32108,0.95034,0.92722,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,15004.5,1.3438,0.92021,0.91783,0.53324,0.40939,0.40615,0.23916,1.32124,0.9498,0.92717,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,15156.4,1.31976,0.90069,0.91893,0.53243,0.40604,0.40334,0.23793,1.32522,0.95164,0.92857,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,15287.1,1.3072,0.88698,0.91792,0.54049,0.40266,0.40379,0.23728,1.32549,0.95066,0.92858,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,15420.5,1.30337,0.88435,0.9173,0.53978,0.40239,0.40297,0.2371,1.32593,0.95155,0.92854,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,15557.8,1.30405,0.88305,0.91695,0.54101,0.40379,0.40342,0.23722,1.32631,0.95147,0.92876,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,15690.5,1.30325,0.88118,0.91613,0.53874,0.40487,0.40362,0.23737,1.32624,0.95143,0.92857,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,15827.9,1.29843,0.87883,0.91696,0.53628,0.40525,0.40368,0.23725,1.32569,0.9507,0.92835,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,15963.8,1.29699,0.8768,0.91367,0.53175,0.40799,0.40315,0.23753,1.3256,0.9503,0.92837,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,16096.1,1.29408,0.87361,0.91541,0.531,0.40538,0.40284,0.23766,1.32561,0.94963,0.92826,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,16231.7,1.29826,0.87419,0.9135,0.52806,0.40763,0.4027,0.23726,1.32598,0.94951,0.92816,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,16369.5,1.29283,0.87139,0.91381,0.53123,0.40728,0.40331,0.23756,1.32544,0.94951,0.92796,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,16502.2,1.29548,0.87145,0.91332,0.52934,0.40792,0.40347,0.23743,1.32607,0.94977,0.92799,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,16638.7,1.29644,0.87072,0.91529,0.52871,0.40903,0.40395,0.23779,1.32529,0.94938,0.92764,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,16771.4,1.29488,0.86888,0.91416,0.53093,0.40704,0.40396,0.2377,1.32511,0.94915,0.92769,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,16905.4,1.29334,0.87123,0.91448,0.53573,0.4034,0.40406,0.23796,1.32512,0.94943,0.92778,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,17042.7,1.29806,0.87155,0.91476,0.53647,0.40308,0.40433,0.23811,1.32464,0.94885,0.92759,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
